ID_SOURCE,ID_TARGET,NILAI_TRANSAKSI
1478,91,100000
1412,1213,500000
1412,1060,2900000
1412,156,900000
1412,797,1300000
1412,1312,2500000
266,155,2200000
266,595,93800000
266,1104,2500000
266,1277,400000
204,1732,3600000
204,640,1200000
204,1657,1800000
204,636,5700000
204,1638,2600000
204,572,2400000
204,1669,5400000
204,915,1200000
204,1606,1900000
755,769,400000
755,452,100000
208,1019,5500000
598,89,1400000
598,769,300000
918,57,100000
1694,1770,1800000
1760,613,2600000
341,1091,2400000
341,80,3700000
813,1293,200000
984,1522,200000
1601,807,23300000
1473,1201,1100000
99,744,5300000
339,1031,100000
427,1221,1800000
1254,1383,100000
591,1327,1200000
591,542,2400000
591,1379,1200000
472,1083,200000
472,140,200000
472,694,600000
778,284,900000
778,414,300000
948,644,200000
1550,1345,4000000
1587,646,200000
1587,919,4800000
1587,1756,2100000
1587,160,100000
1587,1260,23500000
1587,1437,7200000
1587,574,1100000
1587,1597,1800000
1587,1384,400000
1587,1771,100000
1587,1830,100000
1587,803,20900000
455,1024,1100000
455,531,500000
455,1357,2600000
455,1786,900000
818,1761,276200000
1513,320,100000
811,1486,300000
811,1630,200000
1541,1287,5300000
484,167,1100000
484,232,2500000
484,820,58800000
484,700,200000
484,1794,3900000
484,111,2100000
484,186,2400000
484,1302,2300000
484,956,2800000
1300,264,400000
1300,429,200000
62,395,1400000
62,1530,1700000
62,1516,200000
62,227,4900000
62,780,2000000
62,573,600000
306,1838,200000
828,1838,200000
828,140,5900000
473,82,100000
1768,464,800000
749,923,100000
595,577,700000
595,1138,700000
595,1744,1200000
595,503,2000000
595,836,1200000
595,582,3700000
595,1160,100000
595,452,400000
595,1309,19500000
595,994,518900000
595,1742,616000000
595,265,400000
595,707,200000
595,598,1300000
595,616,27900000
595,1188,100000
595,154,200000
595,1479,7500000
595,1307,2500000
595,526,600000
595,1345,6500000
595,1800,1700000
595,1478,1000000
595,89,200000
595,1275,800000
595,612,1200000
595,1042,200000
595,991,100000
1528,92,1147000000
201,7,100000
1083,694,2500000
545,384,1400000
835,204,100000
835,251,3200000
835,647,6800000
835,1669,100000
835,741,200000
835,1135,100000
696,822,2600000
97,1764,2500000
1092,1674,2900000
1092,1142,4200000
1092,1574,2000000
1092,485,1600000
1092,475,200000
1826,890,3100000
1826,1577,2300000
1826,627,1800000
1826,1424,2400000
1826,1318,2400000
1826,237,2200000
1826,1102,2400000
1826,833,2200000
1826,1535,7500000
1826,720,2400000
1826,1746,4200000
1638,1696,4100000
184,815,200000
184,1065,1700000
184,10,700000
184,86,100000
184,1720,100000
1461,1349,100000
1461,1707,1200000
468,320,4100000
468,676,100000
1850,1825,2100000
1543,694,2500000
1376,1112,1600000
996,769,22100000
996,1293,2100000
996,836,700000
836,769,8700000
836,996,200000
836,1293,1600000
154,769,6100000
154,996,300000
1042,215,200000
807,1233,100000
990,1291,100000
697,1011,1200000
1375,1835,242800000
1375,41,500000
857,1004,100000
857,1195,100000
857,1372,200000
857,1703,100000
992,1683,1200000
992,1372,1200000
1275,1744,400000
1275,1372,300000
452,1195,1800000
452,1372,2700000
452,1683,900000
1372,1683,1500000
70,42,200000
70,666,14700000
1301,235,900000
505,1838,200000
267,400,100000
199,1555,400000
1742,265,900000
1742,1703,100000
1742,179,2000000
1742,755,2000000
1742,526,4400000
1742,1479,26300000
1827,1717,500000
1827,1127,300000
1827,677,100000
1769,1215,400000
1769,941,2300000
516,1590,1200000
1323,198,600000
1809,101,600000
1809,1770,6700000
1522,1783,1200000
1522,1215,1200000
308,1264,400000
308,124,700000
308,493,800000
308,747,300000
1451,415,1800000
1451,1699,200000
1451,1245,3400000
1717,500,500000
1324,1469,100000
825,21,87600000
1018,440,1300000
1018,1058,200000
1018,1511,200000
1018,1110,1200000
1018,1261,1200000
694,592,300000
1189,1,800000
1761,993,300000
1761,818,14900000
1761,335,3500000
1761,1583,800000
691,998,1115800000
691,161,100000
310,1017,31400000
310,197,5800000
750,1453,500000
923,749,300000
855,1838,500000
71,440,100000
1720,1407,300000
1720,584,100000
1720,1065,1500000
1720,575,1500000
1553,529,14600000
10,584,600000
10,1407,100000
10,1065,400000
10,1150,700000
10,575,600000
10,1325,100000
10,94,600000
10,184,100000
10,1158,700000
10,1720,400000
10,1636,100000
937,121,100000
1631,1633,300000
486,684,100000
486,1561,100000
503,612,2500000
1806,995,600000
91,215,200000
1148,590,300000
930,1553,4400000
832,1201,3000000
832,839,5900000
832,347,600000
832,1394,37000000
832,1742,309000000
832,935,1600000
832,891,1000000
832,1072,500000
858,1310,13600000
458,109,300000
1147,699,200000
1147,1825,225100000
1736,985,15700000
809,1060,3900000
809,1213,2100000
375,1218,100000
375,807,1600000
695,534,1000000
1831,555,200000
1831,1393,800000
1831,309,900000
1831,403,600000
1831,701,800000
1831,219,800000
1150,1636,100000
1150,10,1000000
1150,1065,300000
1150,815,100000
1150,86,100000
1065,575,400000
1065,1407,400000
1065,86,300000
1065,1636,500000
1065,1505,100000
1065,10,700000
1065,184,400000
1065,815,600000
1065,1158,200000
1065,88,100000
1065,1150,400000
1065,584,200000
1065,1720,700000
1131,949,100000
754,1822,100000
79,1588,100000
1556,181,7100000
594,747,700000
594,1264,200000
342,1060,10500000
747,1632,400000
1474,1521,300000
72,1546,200000
701,309,400000
701,1396,400000
701,1231,100000
701,1393,700000
701,219,400000
701,555,600000
701,675,100000
701,1831,600000
555,309,100000
555,675,100000
555,1396,300000
555,701,400000
1393,309,900000
1393,675,700000
1393,1831,1000000
1393,701,800000
1393,219,1200000
1396,309,800000
1396,675,200000
1396,1831,1200000
1396,555,100000
1396,701,600000
1396,365,100000
1396,1393,2300000
1396,1231,1600000
1396,219,1500000
214,708,1000000
313,588,1500000
1833,100,114300000
986,1414,100000
1309,1417,100000
841,1432,200000
1505,1407,1700000
1505,1325,700000
1505,1636,200000
1505,1413,200000
1505,184,100000
1505,1158,100000
1505,88,300000
1505,575,2600000
1505,1720,100000
1505,815,2800000
336,895,2900000
1693,854,11500000
1693,709,200000
1693,794,2500000
1693,1103,6600000
650,1371,3500000
808,1277,100000
808,1298,4500000
808,1307,1400000
808,1104,2900000
808,595,30800000
465,174,47900000
613,1773,2000000
613,1590,400000
613,1234,1500000
613,481,100000
613,294,700000
613,764,600000
1304,47,3700000
1304,789,3600000
1304,823,2300000
1304,1038,2700000
1304,1116,1400000
1304,1210,5600000
1594,1186,100000
400,278,100000
1159,320,2500000
1695,1542,200000
1695,1825,193200000
1607,1205,16300000
1607,732,2000000
1607,1548,19100000
1607,488,4900000
1607,1274,48400000
1607,624,17500000
1607,810,15700000
1607,177,7000000
1607,1540,9400000
1607,250,16800000
1607,399,15000000
1607,1504,2700000
1607,229,800000
1607,1326,7000000
1607,957,17600000
1607,418,5800000
1607,1370,10600000
1607,805,20900000
1607,254,19500000
1607,447,18800000
1607,37,1900000
1607,1780,12900000
1607,1367,24200000
1607,711,10500000
1607,1087,14500000
1607,1565,22200000
1607,721,18800000
1607,932,17300000
1607,417,5700000
1607,878,18100000
1607,1725,13700000
1607,766,12800000
1607,1130,15500000
1607,1182,13100000
1607,959,16400000
1607,157,3000000
1607,1644,16300000
1607,1377,14800000
1607,1616,9600000
1607,843,18400000
1607,233,6100000
1607,1128,16900000
1607,1313,19200000
1607,570,16600000
1607,279,13700000
1607,765,24200000
1607,248,18900000
1607,710,15200000
1607,645,14600000
1607,515,188500000
1607,1539,4900000
1607,1755,12200000
1607,210,2000000
1607,1438,11600000
1607,1525,13200000
1607,1763,18200000
1607,236,4600000
1607,182,15800000
151,1651,2000000
151,547,3600000
1060,1213,2100000
1060,156,1300000
1060,797,2800000
1843,1061,2000000
1444,1784,2800000
580,973,3500000
580,1590,25800000
580,1765,1500000
580,613,18500000
219,1396,1100000
219,1831,700000
219,309,1400000
219,1231,600000
219,555,200000
219,701,500000
219,1393,1100000
690,673,200000
588,1025,600000
588,313,21200000
1017,310,700000
1017,1555,5600000
93,1553,106600000
762,1381,1400000
762,22,400000
578,534,10100000
1547,954,400000
454,1476,1100000
1633,1707,2000000
1633,1631,700000
183,1073,1200000
183,1735,1200000
183,1118,1200000
183,1645,1200000
183,271,1200000
183,1533,1200000
1161,690,100000
1161,965,500000
1828,665,100000
1632,124,2300000
1632,1368,100000
1632,747,1800000
1632,520,2500000
340,445,2600000
22,762,2400000
752,880,1500000
1253,850,1600000
572,1344,1100000
572,918,200000
572,636,100000
1028,1220,900000
1531,1748,200000
1213,1412,300000
156,1412,200000
90,512,1600000
277,1670,1000000
1030,190,1000000
1030,192,300000
688,758,300000
66,977,1200000
66,107,1400000
66,1717,400000
66,1127,1700000
66,677,4000000
66,85,1200000
80,324,26300000
80,1091,435700000
1395,937,7500000
1551,908,3700000
1551,286,290100000
57,610,1600000
57,251,800000
57,362,1600000
57,1488,100000
57,647,1100000
57,1777,200000
24,961,100000
24,910,200000
1086,1603,42700000
1455,1043,6600000
1043,1455,1100000
947,290,4500000
