srcid,dstid,srcname,dstname
1586273267777646594,1168746690,betafullyo11,Sahabat_Bangsa
1497029098971058181,1912717152,Lam_mim_sad,AT_AbdillahToha
2669984274,1912717152,prayetnobos,AT_AbdillahToha
231252135,1168746690,adriy_six,Sahabat_Bangsa
1499330670627520514,1912717152,mgelapsekali,AT_AbdillahToha
939075072257433600,1168746690,siaga_revolusi,Sahabat_Bangsa
1421454618698010633,1912717152,shinichikw,AT_AbdillahToha
359360999,1912717152,vikrie_vic,AT_AbdillahToha
1492745530795229190,1447610310529982467,ChalsofRivia,TeddGus
1568128898344570881,719725925215170561,Badruzz76394141,marlina_idha
2646128845,902837643024539651,nidayoong,medcom_id
2646128845,110312278,nidayoong,aniesbaswedan
1590900551042052097,1912717152,SebongDunio,AT_AbdillahToha
412243532,1394912376814665730,BaitiiJannati,PakkatDayak
952917145578385409,1912717152,Heryhary4,AT_AbdillahToha
1364568851875176451,1912717152,vokalisBandRock,AT_AbdillahToha
2262153835,1912717152,HeriRiva75,AT_AbdillahToha
1175060965198417920,1912717152,Yahya79900967,AT_AbdillahToha
1133917042795356160,1912717152,kaulahimpianku,AT_AbdillahToha
3079706748,1447610310529982467,Qurni48,TeddGus
1505092924555489281,1447610310529982467,mesya_meme,TeddGus
3079706748,1447610310529982467,Qurni48,TeddGus
735073860538638337,1912717152,rosa_sahlab,AT_AbdillahToha
59710562,1443801854756880385,hragusharyanto,kba_news
3589691713,1433662904071450624,AriSosial,rmp_officials
3589691713,1490116879,AriSosial,cakimiNOW
2408656976,1447610310529982467,bikingemeys,TeddGus
1564578826260123653,1565694488822947842,medan_sib,JillFin38286803
1566460742446235649,1565694488822947842,sumutupdate12,JillFin38286803
1564460378020773888,1565694488822947842,SahabatGPBanten,JillFin38286803
1581835593293918208,902837643024539651,relawansenyap,medcom_id
1581835593293918208,110312278,relawansenyap,aniesbaswedan
1125000762092707840,1912717152,dhanibagasaja,AT_AbdillahToha
1589097725223526400,1565694488822947842,AyuLest1212,JillFin38286803
1561896473251393541,1565694488822947842,Monalisa11123,JillFin38286803
1488415825958944771,719725925215170561,OjolNyambi,marlina_idha
976340481138462720,1565694488822947842,cermin213,JillFin38286803
1589074751066378241,1565694488822947842,IndriRukhiat,JillFin38286803
1359353802,80323736,TubosAnnafe,ridwankamil
1359353802,80323736,TubosAnnafe,ridwankamil
1526990191407558656,55507370,2672Uwak,tvOneNews
2506974942,1565694488822947842,ParamitaR77,JillFin38286803
400032524,902837643024539651,Senji28,medcom_id
400032524,110312278,Senji28,aniesbaswedan
1184003005592395776,1565694488822947842,MasGond21823428,JillFin38286803
1200359012,1912717152,tinaagustinajkt,AT_AbdillahToha
1445399896220127244,1912717152,AhmadSyah458,AT_AbdillahToha
1144268405249380358,1912717152,Alexx_kx,AT_AbdillahToha
1359353802,2314935228,TubosAnnafe,AldiNeno
1359353802,80323736,TubosAnnafe,ridwankamil
1577959905394393091,1582639461594066944,BobiSitungkir,AdeRaha00921732
1571309243042791424,1565694488822947842,Risalahkalapati,JillFin38286803
829860087422279681,1912717152,TutyA212,AT_AbdillahToha
1356574914061369344,1565694488822947842,PutriHanaa_,JillFin38286803
276877872,1912717152,ZRsaja,AT_AbdillahToha
1457524774750474242,397673651,Anfa_2018,Gerindra
1092436394771808257,719725925215170561,RUSWI3,marlina_idha
1587341176142979072,1565694488822947842,nanakaruhei,JillFin38286803
228053231,1912717152,ujmulyana,AT_AbdillahToha
179512802,1912717152,must_0ne01,AT_AbdillahToha
435004096,1420614189421195271,Aryprasetyo85,barikade_98
54801818,1912717152,susan1612,AT_AbdillahToha
1379650751190818818,1492745530795229190,BudionoId,ChalsofRivia
1379650751190818818,238200402,BudionoId,AlbertusP79
1379650751190818818,864455408,BudionoId,OerangB
1379650751190818818,3252997136,BudionoId,Andiarief__
4152074052,719725925215170561,RahmanRahmato,marlina_idha
1097486120701505537,1443801854756880385,harissp32,kba_news
1109463301811900416,719725925215170561,AkhmadDimyati13,marlina_idha
1259180445779980288,1912717152,Bayoobay007,AT_AbdillahToha
186325963,1912717152,dannydhe,AT_AbdillahToha
1445706612,902837643024539651,rossypauzi,medcom_id
1445706612,110312278,rossypauzi,aniesbaswedan
