srcid, dstid, srcname, dstname
1362798387054059522,1478190519213694976,Suharla85020812,SalimCipok
1373247757876531201,1502537587407294464,aneuk_ubit,Sekber_AniesId
1430865045466927108,1502537587407294464,zenold_AntiJoko,Sekber_AniesId
879295432895025154,1502537587407294464,amfas2020,Sekber_AniesId
30314772,1387838579435458565,Flo_Rence,tukangrosok___
1298791626739867648,1387838579435458565,BJ___Robin,tukangrosok___
1351712703274917891,1478190519213694976,Je_Lynju,SalimCipok
3223035314,1244569328818642944,okijogjezz,Gelang_Alit2
3223035314,1049488491178995712,okijogjezz,parwatyRizky
1377805824291074049,1379546070783430661,denni_loys,DM_N4BYL
1220604388818866176,1052339653,MattDav88955383,siregar_najeges
3223035314,409372768,okijogjezz,tonaytoni1
1310585080973148165,306615832,sonsih56gmailc1,pejuangnkri77
526953767,1387838579435458565,TukangMu,tukangrosok___
1377805824291074049,409372768,denni_loys,tonaytoni1
1351712703274917891,1078570522038788097,Je_Lynju,jr_kw20
3181492020,1502537587407294464,yenniaryani410,Sekber_AniesId
1439834301458120713,2558197662,Rizal98424059,patriot016610
2898080395,2558197662,joserasyid,patriot016610
54801818,1502537587407294464,susan1612,Sekber_AniesId
1433786435866292230,1502537587407294464,rezapahlevie24,Sekber_AniesId
1310491734086877184,1172443351607472129,riyadisugeng167,heryawan_g
768768865631297536,2558197662,rizal_1966,patriot016610
2536575349,2558197662,lanunatuna,patriot016610
15256823,1172443351607472129,chaterine_8,heryawan_g
15256823,1172443351607472129,chaterine_8,heryawan_g
1123241055703318531,1502537587407294464,FirlyLinggar,Sekber_AniesId
175307477,1502537587407294464,kerenbangeet,Sekber_AniesId
618014431,2558197662,SentosaYusuf,patriot016610
1497940398123421697,1398125066685059072,IIrmensyah,TemanGanjar2705
15256823,1244569328818642944,chaterine_8,Gelang_Alit2
1474260324383477760,2558197662,BaasithIbnu,patriot016610
1434400327105605633,964118629657722880,Sindhu8483,SianglaparTogar
1530149891875274752,2558197662,Tommy20220527,patriot016610
1266023464663568396,409372768,MusaRudy_Stpl,tonaytoni1
1589827753830150144,1457907849888026624,Idaahma11484480,akunkeenam212
15256823,1379546070783430661,chaterine_8,DM_N4BYL
1266386436049289216,2558197662,MuhiqR,patriot016610
1369772787871535106,2558197662,Deni_dwSaja,patriot016610
3251201737,2558197662,hanifveren,patriot016610
1369772787871535106,2558197662,Deni_dwSaja,patriot016610
15256823,1243076846515662848,chaterine_8,Nailazaara__
1105372300357001216,1502537587407294464,AbahBen3,Sekber_AniesId
3181492020,2558197662,yenniaryani410,patriot016610
237206324,1502537587407294464,ChechYogu,Sekber_AniesId
15256823,15256823,chaterine_8,chaterine_8
1246942115369631744,2558197662,tutiktolani,patriot016610
1474260324383477760,2558197662,BaasithIbnu,patriot016610
1570021015891382273,2558197662,anak_sarjana,patriot016610
1535988669580193797,1457907849888026624,Kiamatbencana,akunkeenam212
15256823,1249352392954368001,chaterine_8,denni_sauya
1406256851797241861,1502537587407294464,Madza57472638,Sekber_AniesId
1529809081099505664,2558197662,Bagindo_Radjo,patriot016610
1406256851797241861,2558197662,Madza57472638,patriot016610
1469651149179346944,2558197662,Delimaroon,patriot016610
3223035314,1310491734086877184,okijogjezz,riyadisugeng167
941386032,2558197662,mupbusiness,patriot016610
3181492020,1456283686312103939,yenniaryani410,Yurissa_Samosir
3223035314,1249352392954368001,okijogjezz,denni_sauya
1111869321536364546,1502537587407294464,AdeCand65866045,Sekber_AniesId
1111869321536364546,1502537587407294464,AdeCand65866045,Sekber_AniesId
100538287,2558197662,irawanbrave,patriot016610
994195979384512518,2558197662,YenniS40529440,patriot016610
3223035314,1172443351607472129,okijogjezz,heryawan_g
1260531598383972352,1556284464505823232,winsandiii,adiastaraya
994195979384512518,1502537587407294464,YenniS40529440,Sekber_AniesId
994195979384512518,1502537587407294464,YenniS40529440,Sekber_AniesId
3223035314,15256823,okijogjezz,chaterine_8
579968793,1502537587407294464,imbangimedia,Sekber_AniesId
1560938507845378048,2558197662,Abcd322322,patriot016610
994195979384512518,2558197662,YenniS40529440,patriot016610
1558275476422291456,1502537587407294464,Pur962,Sekber_AniesId
168625042,2558197662,visiau,patriot016610
