id,name
1450108398645645313,Poy_Poy12
1518975629970276352,Ardji20
3037677768,rudimulawarman_
1350814257349238788,FatihKa20913774
4015162032,AditiyaP25269
1165240662905606144,pulu_yan
470029955,abak_zawil
964118629657722880,SianglaparTogar
1482553226218319876,syifa_indrat
1502822366946402304,DokterTifa
1534922171583442944,Acakoca1
1243076846515662848,Nailazaara__
1005317954269949952,adijogedjogja
1462089098437427206,AsrarulHayat1
1004194399,Bella_beneamata
1199772596,sumadiseloguno
805231018319826944,irinbolin
1374638665700319232,UtangJpu
1457907849888026624,akunkeenam212
3181492020,yenniaryani410
1157846574107545600,AstutyCici
1002326672882847744,TolakBigotRI_
3356823973,Gawink159160
1054344844770861056,hawe75
1249352392954368001,denni_sauya
1131512363356581888,ASesaryo
1480179817827868672,rozykaspu2
1635673424,raihans47471215
142945130,cahy4nto
1115452051331280896,Fathur4521
2669430458,Jelli_cent
1078570522038788097,jr_kw20
1098189192813674496,ALGOZ20
243514145,BobbyPoerwana
1563520525225234435,Umbara_04
2292231362,endangs119
1237012707481550848,Lima8Satu
1049488491178995712,parwatyRizky
1573677362851745794,AgusPan49950683
1362798387054059522,Suharla85020812
1478190519213694976,SalimCipok
1373247757876531201,aneuk_ubit
30314772,Flo_Rence
1298791626739867648,BJ___Robin
1351712703274917891,Je_Lynju
3223035314,okijogjezz
1244569328818642944,Gelang_Alit2
1377805824291074049,denni_loys
1220604388818866176,MattDav88955383
409372768,tonaytoni1
1310585080973148165,sonsih56gmailc1
526953767,TukangMu
1439834301458120713,Rizal98424059
2898080395,joserasyid
54801818,susan1612
1433786435866292230,rezapahlevie24
1172443351607472129,heryawan_g
2536575349,lanunatuna
15256823,chaterine_8
1123241055703318531,FirlyLinggar
175307477,kerenbangeet
618014431,SentosaYusuf
1497940398123421697,IIrmensyah
1398125066685059072,TemanGanjar2705
1474260324383477760,BaasithIbnu
1434400327105605633,Sindhu8483
1530149891875274752,Tommy20220527
1266023464663568396,MusaRudy_Stpl
1589827753830150144,Idaahma11484480
1369772787871535106,Deni_dwSaja
3251201737,hanifveren
1105372300357001216,AbahBen3
237206324,ChechYogu
1246942115369631744,tutiktolani
1570021015891382273,anak_sarjana
1535988669580193797,Kiamatbencana
1406256851797241861,Madza57472638
1529809081099505664,Bagindo_Radjo
1469651149179346944,Delimaroon
941386032,mupbusiness
1111869321536364546,AdeCand65866045
100538287,irawanbrave
994195979384512518,YenniS40529440
579968793,imbangimedia
1560938507845378048,Abcd322322
1558275476422291456,Pur962
168625042,visiau
1103949609158627329,rikarachmayant2
1518548511087685633,prabowomuda08
738175850407829504,lelakiabiez
1576778130005852160,mtaurus9
766271850464894976,TangguiSampoer1
520062978,JeckDumai
1581525819775913985,axew81setu
1528286672085196800,SamsulhadiHad15
1461731416673116160,SAHABATAnies1
1400072435903320069,yayan_nasai
1370056795,BossToukeeIsa
825550568370237441,ismailchandra9
1330077678326714369,AgungAnggoroPut
1411339937572528129,YoYoAyo17845
379288910,pengarang_sajak
851379912,mamanjunaedi
1040668954664951808,savagemaniac7
1353965204816629761,AbuWafa51611261
1334853481019056128,Mdy_Asmara1701
1370742494778912776,how378_
560392924,cuektogether
1092436394771808257,RUSWI3
1004921130971303936,BagindoY
1579291582733291525,rania_rohani
1541998578805006336,Retnowul8844
2792760140,syamsulhadi_ae
1292096979795767296,LulukSwa
1572209052549255171,ErmansyahUus
1377981199893753856,wawan1268
994996825819045889,AdityarifqiRif1
3313508017,TinaDubie
1547086169799700480,BahamasJefry
1445706612,rossypauzi
1097107026956627968,jonsa61664335
1393918925318987776,ciangsex
1304097496927412226,ahwi_cingwan
1159129758015225857,SamberSajati
384190172,dwi_nantoo
1292177841946152960,WansukOnes
1732140188,whysato2
1469273556068409346,MMusramidal
248814171,ruben_galih
1388042421456437252,AypPrakasa
4200088157,CryptoKuta
239293819,ifdolmah
1095708720305135616,1Agamano
312698073,yudhadhanantaa
1912717152,AT_AbdillahToha
1122018053795876864,PurwantoHeri
993181832433692672,HendraHanifah
1527631818207375361,dpd_tangray
4926384091,MOHAMADRUSLI14
1528179272917000192,Dasepmilanisti1
1578287414606409728,aeryd992
1213134333390704641,Omtal5
968086228145860610,Ucok_Hutasoit
1472832391316049920,mavin1818
1265916778439303168,Sumanto59653397
1420567233688866818,MokhlasL
1583067578431197184,jolotundo988
2293229845,AgusSup39011241
2585242076,mumungwisnu_1
1167652641448423424,MsFirdaus5
811857323060645889,McKayo_68
721592962619088896,latifnurrohmah
52307891,Agus_Purwadi
1347771081059233793,_NusantaraKu
4889057999,CallOfDutyRI
1598818847951585281,Abdul44_Hamid
1547764916,NasrilLatief
2754383112,toranaga3000
1108223303288651776,idandasyahooco1
1147499477751586818,Hmmurahmurahhm2
1359151510085636098,DhaniNusantara1
1026261268737347584,Arifin2Zainal
1569742638664019974,Hendry230867
1023331032,ahmad_chm
1226725839099707392,aan_muba
1408658286253985798,PagiPerindu
1448851169145593857,Razis77498534
1093013478971891713,Sunarti25231614
2905567770,UalwaysBeMySide
1377102483273576448,SulaimanJati2
943536788,IciOriza09
1413912059637501954,Maira_616
1475396921506160641,NidyaLuna
1598181723573227520,proudbear19
1219501779693342725,TonyFat9
